TEŞVİK LİSTESİ ÖZET RAPORU;;;;;;;
;;;;;;;
Toplam Kayıt:;732;;Rapor Tarihi:;25.03.2026;;;
;;;;;;;
GM ID;Teşvik ID;Firma;Durum;İl;Proje Bedeli;Teşvik Miktarı;Oluşturma Tarihi
GM2026001;TES20260567;;taslak;;0;0;
GM2026001;TES20260568;;taslak;;0;0;
GM2026001;TES20260569;;taslak;;0;0;
GM2026001;TES20260570;;taslak;;0;0;
GM2026001;TES20260571;;taslak;;0;0;
GM2026001;TES20260572;;taslak;;0;0;
GM2026001;TES20260573;;taslak;;0;0;
GM2026001;TES20260574;;taslak;;0;0;
GM2026001;TES20260575;;taslak;;0;0;
GM2026001;TES20260576;;taslak;;0;0;
GM2026001;TES20260577;;taslak;;0;0;
GM2026001;TES20260578;;taslak;;0;0;
GM2026001;TES20260579;;taslak;;0;0;
GM2026001;TES20260580;;taslak;;0;0;
GM2026001;TES20260581;;taslak;;0;0;
GM2026001;TES20260582;;taslak;;0;0;
GM2026001;TES20260583;;taslak;;0;0;
GM2026001;TES20260584;;taslak;;0;0;
GM2026001;TES20260585;;taslak;;0;0;
GM2026001;TES20260586;;taslak;;0;0;
