,
Kod,Tanım
1721.0.12,"Tente, kamp eşyaları v.b.nin onarımı"
1722.0.01,"Halılar, diğer tekstil yer kaplamaları (düğümlü, sarmalı)"
1722.0.02,"Halılar, diğer tekstil yer kaplamaları (dokunmuş)"
1722.0.03,"Halılar, diğer tekstil yer kaplamaları (tafte edilmiş)"
1722.0.04,Diğer halılar ve tekstil yer kaplamaları (keçeden olanlar dahil)
1723.0.01,"Sicim, kordon, ip, halat (jüt veya diğer elyaftan yapılmış)"
1723.0.02,Sicimden örülmüş ağlar; kordonlar; tekstil ürünlerinden hazır ağlar ve fileler; b.y.s. iplik ürünleri
1723.0.03,"Paçavra, kullanılmış sicim, halat, ip; diğer kullanılmış tekstil ürünleri"
1723.0.04,Ağ ve ipten yapılan diğer ürünlerin onarımı
1729.1.01,"Giyim eşyası hariç, dokuma olmayan kumaş ile bundan yapılan ürünler"
1729.2.01,Dar dokuma kumaşlar
1729.2.02,"Tüller ve diğer ağ kumaşlar; örülmüş veya tığ işi kumaşlar; parça, şerit veya motif halinde danteller"
1729.2.03,"Parça, şerit veya motif halinde nakış ve işlemeler"
1729.2.04,"Keçe (boyanmış, kaplanmış veya haddeden geçirilmiş)"
1729.2.05,Yorgan veya şilte doldurmak için kırpıntılar; bu türden eşyalar
1729.2.06,Kauçuk ip ve kordonlar (tekstil ile kaplanmış); tekstil ipliği (kauçuk veya plastik ile kaplanmış veya emprenye edilmiş)
1729.2.07,Metalize iplikler
1729.2.08,"B.y.s. giyim eşyasında, döşemecilikte veya benzeri işlerde kullanılan metal ipliklerden dokunmuş mensucat ve metalize ipliklerden dokunmuş mensucat"
1729.2.09,"Gipe iplikler, monofiller, şeritler, tırtıl iplikler"
1729.2.10,"Naylon, poliamid, polyester veya viskoz ipliği esaslı dayanıklı iplikten lastik (tekerlek) kumaşı"
1729.2.11,B.y.s. dokuma kumaşlar (emprenye edilmiş veya kaplanmış)
1729.2.12,Teknik amaçlı tekstil ürünleri ve tekstil eşyalar
1729.2.13,Kapitone tekstil ürünleri
1730.1.01,Örme tüylü kumaşlar
1730.1.02,Diğer trikotaj ve tığ-işi kumaşlar
1730.2.01,"Çorap, külotlu çorap, tayt (trikotaj - tığ işi)"
1730.3.01,"Kazak, hırka, yelek, jarse (trikotaj - tığ işi)"
1810.1.01,Deri giyim eşyası
1810.2.01,"İşte giyilen ceket, kazak v.b.erkek giysileri"
1810.2.02,"Erkek pantolon, tulum, kısa pantolon ve şortları (işte giyilen)"
1810.2.03,"İşte giyilen ceket, kazak v.b.kadın giysileri"
1810.2.04,"Kadın pantolon, tulum, kısa pantolon ve şortları (işte giyilen)"
1810.2.05,Diğer iş giysileri
1810.3.01,"Erkek veya erkek çocuk için dış giysiler; palto, pelerin, gocuk, anorak ve benzeri eşyalar (örme)"
1810.3.02,"Erkek veya erkek çocuk için ceket, kazak, blazer, pantolon, tulum, kısa pantolon ve şortlar (örme)"
