Kod,Tanım
77.35,Hava taşımacılığı araçlarının kiralanması ve leasingi
77.35.01,Hava taşımacılığı araçlarının operatörsüz olarak kiralanması ve operasyonel leasingi
77.39,"Başka yerde sınıflandırılmamış diğer makine, ekipman ve maddi malların kiralanması ve leasingi"
77.39.01,Demir yolu ulaşım ekipmanlarının operatörsüz olarak kiralanması ve operasyonel leasingi
77.39.02,"Konteynerlerin kiralanması veya leasingi (konaklama ve büro amaçlı olanlar, birden çok taşıma türlerine uygun olanlar ve diğerleri) (finansal leasing hariç)"
77.39.03,"Motosiklet, karavan ve kamp gereçlerinin operatörsüz olarak kiralanması veya leasingi (finansal leasing hariç)"
77.39.04,Maden ve petrol sahasında kullanılan ekipmanların operatörsüz olarak kiralanması veya leasingi (finansal leasing hariç)
77.39.05,Motorlar ve türbinlerin operatörsüz olarak kiralanması veya leasingi (finansal leasing hariç)
77.39.06,Mesleki ve bilimsel amaçlı ölçüm ve kontrol ekipmanlarının operatörsüz olarak kiralanması veya leasingi (tıbbi cihaz ve ekipmanların kiralanması dahil) (finansal leasing hariç)
77.39.07,"Ticari radyo, televizyon ve telekomünikasyon ekipmanları ile sinema filmi yapım ekipmanlarının operatörsüz olarak kiralanması veya operasyonel leasingi"
77.39.99,Başka yerde sınıflandırılmamış diğer makine ve ekipmanların sürücüsüz kiralanması ve leasingi ile maddi malların kiralanması ve operasyonel leasingi
77.4,Fikri mülkiyet haklarının ve benzer ürünlerin leasingi (Telif hakkı alınmış olan çalışmalar hariç)
77.40,Fikri mülkiyet haklarının ve benzer ürünlerin leasingi (Telif hakkı alınmış olan çalışmalar hariç)
77.40.01,"Fikri mülkiyet haklarının ve benzer ürünlerin leasingi (patentli varlıklar, markalar, imtiyaz sözleşmeleri vb. dahil; telif hakkı alınmış olan çalışmalar hariç) (finansal leasing hariç)"
77.5,Maddi varlıkların ve finans dışı maddi olmayan varlıkların kiralanması ve leasingi için aracılık hizmeti faaliyetleri
77.51,"Otomobillerin, motorlu karavanların ve römorkların kiralanması ve leasingine ilişkin aracılık hizmeti faaliyetleri"
77.51.00,"Otomobillerin, motorlu karavanların ve römorkların kiralanması ve leasingine ilişkin aracılık hizmeti faaliyetleri"
77.52,Diğer maddi varlıkların ve finans dışı maddi olmayan varlıkların kiralanması ve leasingi için aracılık hizmeti faaliyetleri
77.52.00,Diğer maddi varlıkların ve finans dışı maddi olmayan varlıkların kiralanması ve leasingi için aracılık hizmeti faaliyetleri
78,İstihdam faaliyetleri
78.1,İş bulma acentelerinin faaliyetleri
78.10,İş bulma acentelerinin faaliyetleri
78.10.01,İş bulma acentelerinin faaliyetleri (işe girecek kişilerin seçimi ve yerleştirilmesi faaliyetleri dahil)
78.10.04,Oyuncu seçme ajansları ve bürolarının faaliyetleri
78.2,Geçici iş bulma acenteleri ile diğer insan kaynaklarının sağlanması faaliyetleri
78.20,Geçici iş bulma acenteleri ile diğer insan kaynaklarının sağlanması faaliyetleri
78.20.02,Geçici iş bulma acenteleri ile diğer insan kaynaklarının sağlanması faaliyetleri
79,"Seyahat acentesi, tur operatörü ve diğer rezervasyon hizmetleri ve ilgili faaliyetler"
79.1,Seyahat acentesi ve tur operatörlerinin faaliyetleri
79.11,Seyahat acentesi faaliyetleri (yolcu taşımacılığı için olanlar hariç)
79.11.01,Seyahat acentesi faaliyetleri (yolcu taşımacılığı için olanlar hariç)
79.12,Tur operatörü faaliyetleri
79.12.01,Tur operatörü faaliyetleri
79.9,Diğer rezervasyon hizmetleri ve ilgili faaliyetler
79.90,Diğer rezervasyon hizmetleri ve ilgili faaliyetler
79.90.01,Turist rehberliği ve ziyaretçiler için danışmanlık faaliyetleri (gezilerle ilgili bilgi sağlanması)
79.90.99,"Başka yerde sınıflandırılmamış diğer rezervasyon hizmetleri ve ilgili faaliyetler (turizm tanıtım faaliyetleri, vb.)"
80,Soruşturma ve güvenlik faaliyetleri
80.0,Soruşturma ve güvenlik faaliyetleri
80.01,Soruşturma ve özel güvenlik faaliyetleri
80.01.01,Özel güvenlik faaliyetleri (kamu güvenliği hariç)
80.01.02,"Soruşturma faaliyetleri (özel dedektiflik faaliyetleri, imza ve el yazısı tespit faaliyetleri dahil)"
80.09,Başka yerde sınıflandırılmamış güvenlik faaliyetleri
80.09.01,Çilingirlik hizmetleri
80.09.99,Başka yerde sınıflandırılmamış güvenlik faaliyetleri
81,Binalar ile ilgili hizmetler ve çevre düzenlemesi faaliyetleri
81.1,Tesis bünyesindeki kombine destek hizmetleri
81.10,Tesis bünyesindeki kombine destek hizmetleri
81.10.01,Tesis bünyesindeki kombine destek hizmetleri
81.2,Temizlik faaliyetleri
81.21,Binaların genel temizliği
81.21.01,Binaların genel temizliği (uzmanlaşmış temizlik faaliyetleri hariç)
81.22,Diğer bina ve endüstriyel temizlik faaliyetleri
81.22.03,Nesne veya binaların (ameliyathaneler vb.) sterilizasyonu faaliyetleri
81.22.04,"Yapıların dış cepheleri için buharlı temizleme, kum püskürtme vb. uzmanlaşmış inşaat faaliyetleri"
81.22.05,Yeni binaların inşaat sonrası temizliği
81.22.99,Başka yerde sınıflandırılmamış diğer bina ve endüstriyel temizlik faaliyetleri (sterilizasyon faaliyetleri hariç)
81.23,Diğer temizlik faaliyetleri
81.23.01,"Böceklerin, kemirgenlerin ve diğer zararlıların imhası ve haşere kontrol faaliyetleri (tarımsal zararlılarla mücadele hariç)"
81.23.02,"Park ve caddelerin süpürülerek yıkanması, temizlenmesi faaliyetleri"
81.23.03,"Yol ve pistlerdeki kar ve buzun kaldırılması (kum, tuz dökülmesi dahil)"
81.23.99,Başka yerde sınıflandırılmamış diğer temizlik faaliyetleri (oto yıkama hariç)
81.3,Çevre düzenlemesi ve bakımı faaliyetleri
81.30,Çevre düzenlemesi ve bakımı faaliyetleri
81.30.06,Çevre düzenlemesi ve bakımı faaliyetleri
82,"Büro yönetimi, büro destek ve işletme destek faaliyetleri"
82.1,Büro yönetimi ve destek faaliyetleri
82.10,Büro yönetimi ve destek faaliyetleri
82.10.01,"Büro yönetimi ve destek faaliyetleri (sanal ofis, hazır ofis ve paylaşımlı ofis hariç)"
82.10.02,"Sanal ofis, hazır ofis ve paylaşımlı ofis yönetimi ve destek faaliyetleri"
82.2,Çağrı merkezlerinin faaliyetleri
82.20,Çağrı merkezlerinin faaliyetleri
82.20.01,Çağrı merkezlerinin faaliyetleri
82.3,Kongre ve ticari gösteri organizasyonu
82.30,Kongre ve ticari gösteri organizasyonu
82.30.02,Kongre ve ticari gösteri organizasyonu
82.4,Başka yerde sınıflandırılmamış işletme destek hizmetleri için aracılık hizmeti faaliyetleri
82.40,Başka yerde sınıflandırılmamış işletme destek hizmetleri için aracılık hizmeti faaliyetleri
82.40.01,"Spor, müzik, tiyatro ve diğer eğlence etkinlikleri için yer ayırma (rezervasyon) ve bilet satılması faaliyeti"
82.40.99,Başka yerde sınıflandırılmamış işletme destek hizmetleri için aracılık hizmeti faaliyetleri (bilet rezervasyonu hariç)
82.9,Başka yerde sınıflandırılmamış işletme destek hizmeti faaliyetleri
82.91,Tahsilat ve kredi kayıt bürolarının faaliyetleri
82.91.00,Tahsilat ve kredi kayıt bürolarının faaliyetleri
82.92,Paketleme faaliyetleri
82.92.01,Tehlikesiz ürünleri paketleme faaliyetleri
82.92.05,Tehlikeli ürünleri paketleme faaliyetleri
82.99,Başka yerde sınıflandırılmamış diğer işletme destek hizmeti faaliyetleri
82.99.02,"Elektrik, gaz, su ve ısınma sayaçlarını okuma ve faturalama faaliyetleri"
82.99.04,Trafik müşavirliği
82.99.08,İş takipçiliği faaliyeti
82.99.99,Başka yerde sınıflandırılmamış diğer işletme destek hizmeti faaliyetleri
P,KAMU YÖNETİMİ VE SAVUNMA; ZORUNLU SOSYAL GÜVENLİK
84,Kamu yönetimi ve savunma; zorunlu sosyal güvenlik
84.1,"Ülke yönetimi ve toplumun ekonomik, sosyal ve çevre politikalarının yönetimi"
84.11,Genel kamu idaresi faaliyetleri
84.11.41,Belediyelerin kamu yönetimi hizmetleri
84.11.42,Ekonomik ve sosyal planlama ile istatistik ile ilgili kamu yönetimi hizmetleri
84.11.43,"Finansal, mali ve denetim ile ilgili kamu yönetimi hizmetleri (defterdarlık, mal müdürlükleri, vergi daireleri, Sayıştay, kamu borç ve fonlarının yönetimi dahil)"
84.11.44,Genel personel işleri ile ilgili kamu yönetimi hizmetleri
84.11.45,Gümrüklerle ilgili kamu yönetimi hizmetleri
84.11.46,Muhtarların faaliyetleri
84.11.47,Valiliklerin ve kaymakamlıkların kamu yönetimi hizmetleri (il ve ilçe özel idarelerinin faaliyetleri dahil)
84.11.48,Yasama ve yürütme hizmetleri
84.11.90,Kamu için diğer destekleyici kamu yönetimi hizmetleri (merkezi kamu ihale ve tedarik hizmetleri ile haritacılık vb.)
84.12,"Sağlık, eğitim, kültürel hizmetler ve diğer sosyal hizmetlerin düzenlenmesi"
84.12.11,Eğitime ilişkin kamu yönetimi hizmetleri
84.12.12,İskan ve toplum refahına ilişkin kamu yönetimi hizmetleri (su temini ve çevre koruma programları dahil)
84.12.13,Sağlığa ve sosyal hizmetlere ilişkin kamu yönetimi hizmetleri
84.12.14,"Spor, dinlence, kültür ve dine ilişkin kamu yönetimi hizmetleri"
84.13,İş etkinliğinin artırılmasına yönelik katkı ve düzenleme faaliyetleri
84.13.11,Çok amaçlı geliştirme projeleri ile ilgili kamu yönetimi hizmetleri (bölgesel kalkınma projeleri dahil)
84.13.12,"Genel ekonomik, ticari ve işgücü ile ilgili kamu yönetimi hizmetleri (genel ekonomi politikalarının oluşturulması, teşvik faaliyetleri, patent işleri, genel istihdam politikaları, metroloji işleri, istihdam vb.)"
84.13.13,"Madencilik, doğal kaynaklar, imalat ve inşaat ile ilgili kamu yönetimi hizmetleri"
84.13.14,"Tarım, ormancılık, balıkçılık ve avcılıkla ilgili kamu yönetimi hizmetleri"
84.13.15,"Ticaret, otelcilik ve lokantacılık ile ilgili kamu yönetimi hizmetleri"
84.13.16,Turizm ile ilgili kamu yönetimi hizmetleri
84.13.17,Ulaştırma ve iletişim ile ilgili kamu yönetimi hizmetleri
84.13.18,"Yakıt ve enerji ile ilgili kamu yönetimi hizmetleri (enerji bakanlığı, vb.)"
84.2,Bir bütün olarak topluma hizmetlerin sağlanması
84.21,Dışişleri ile ilgili hizmetler
84.21.05,Dış işleri ile ilgili kamu yönetimi hizmetleri (yurt dışı diplomatik hizmetler ve konsolosluk hizmetleri hariç)
84.21.06,Yurt dışı diplomatik hizmetler ve konsolosluk hizmetleri (yabancı konsolosluklar hariç)
84.22,Savunma faaliyetleri
84.22.05,Askeri savunma hizmetleri (silahlı kuvvetler ve savunma ile ilgili idari hizmetler)
84.22.06,Sivil savunma hizmetleri
84.23,Adalet ve yargı organlarının faaliyetleri
84.23.04,"Adli sistemin yönetilmesi, cumhuriyet savcılıklarının ve icra müdürlüklerinin faaliyetleri (ceza infaz kurumlarının ve mahkemelerin faaliyetleri hariç)"
84.23.05,"Ceza infaz ve tutuk evlerinin faaliyetleri (rehabilitasyon faaliyetleri dahil, eğitim faaliyetleri hariç)"
84.23.06,Mahkemelerin faaliyetleri (yüksek yargı organları dahil)
84.24,Kamu düzeni ve güvenliği ile ilgili faaliyetler
84.24.01,Kamu düzeni ve güvenliği ile ilgili faaliyetler
84.25,İtfaiye hizmetleri
84.25.01,İtfaiye hizmetleri (hava taşıtlarıyla yapılanlar ile orman yangınlarıyla mücadele ve koruma faaliyetleri hariç)
84.25.02,Hava taşıtları yoluyla yapılan itfaiye hizmetleri (orman yangınlarıyla mücadele ve koruma faaliyetleri hariç)
84.25.03,Cankurtaranlar gibi plaj gözetmenlerinin faaliyetleri
84.3,Zorunlu sosyal güvenlik faaliyetleri
84.30,Zorunlu sosyal güvenlik faaliyetleri
84.30.01,Zorunlu sosyal güvenlik faaliyetleri
Q,EĞİTİM
85,Eğitim
85.1,Okul öncesi eğitim
85.10,Okul öncesi eğitim
85.10.01,Kamu kurumları tarafından verilen okul öncesi eğitim faaliyeti (okula yönelik eğitim verilmeyen gündüz bakım (kreş) faaliyetleri hariç)
85.10.02,Özel öğretim kurumları tarafından verilen okul öncesi eğitim faaliyeti (okula yönelik eğitim verilmeyen gündüz bakım (kreş) faaliyetleri hariç)
85.2,İlköğretim
85.20,İlköğretim
85.20.06,Kamu kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik ilköğretim faaliyeti
85.20.07,"Kamu kurumları tarafından verilen ilköğretim faaliyeti (yetişkinlere yönelik okuma yazma programlarının verilmesi dahil, engelliler için verilen eğitim hariç)"
85.20.08,Özel öğretim kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik ilköğretim faaliyeti
85.20.09,"Özel öğretim kurumları tarafından verilen ilköğretim faaliyeti (yetişkinlere yönelik okuma yazma programlarının verilmesi dahil, engelliler için verilen eğitim hariç)"
85.3,Ortaöğretim ve ortaöğretim sonrası yükseköğretim derecesinde olmayan eğitim
85.31,Genel ortaöğretim
85.31.12,Kamu kurumları tarafından verilen genel ortaöğretim (ortaokul/lise) faaliyeti (engellilere yönelik verilen eğitim hariç)
85.31.13,Kamu kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik genel ortaöğretim (ortaokul/lise) faaliyeti
85.31.14,Özel öğretim kurumları tarafından verilen genel ortaöğretim (ortaokul/lise) faaliyeti (engellilere yönelik verilen eğitim hariç)
85.31.16,Özel öğretim kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik genel ortaöğretim (ortaokul/lise) faaliyeti
85.32,Mesleki orta öğretim
85.32.10,Kamu kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik teknik ve mesleki ortaöğretim (ortaokul/lise) faaliyeti
85.32.11,Kamu kurumları tarafından verilen teknik ve mesleki ortaöğretim (ortaokul/lise) faaliyeti (engellilere yönelik verilen eğitim hariç)
85.32.12,Özel öğretim kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik teknik ve mesleki ortaöğretim (ortaokul/lise) faaliyeti
85.32.13,Özel öğretim kurumları tarafından verilen teknik ve mesleki ortaöğretim (ortaokul/lise) faaliyeti (engellilere yönelik verilen eğitim hariç)
85.32.14,Çıraklık eğitimi
85.32.15,"Ticari sertifika veren havacılık, yelkencilik, gemicilik vb. kursların faaliyetleri"
85.32.16,Ticari taşıt kullanma belgesi veren sürücü kurslarının faaliyetleri
85.32.90,Mesleki amaçlı eğitim veren diğer kursların faaliyetleri (özel öğretim kurumları tarafından verilen fiziksel veya zihinsel engellilere yönelik teknik ve mesleki ortaöğretim (ortaokul/lise) faaliyetleri ile çıraklık eğitimi faaliyetleri dahil)
85.33,Ortaöğretim sonrası yükseköğretim derecesinde olmayan eğitim
85.33.00,Ortaöğretim sonrası yükseköğretim derecesinde olmayan eğitim
85.4,Yükseköğretim
85.40,Yükseköğretim
85.40.01,Özel öğretim kurumları tarafından verilen yükseköğretim faaliyeti (yükseköğretim düzeyinde eğitim sağlayan konservatuvarlar dahil)
85.40.02,Kamu kurumları tarafından verilen yükseköğretim faaliyeti (yükseköğretim düzeyinde eğitim sağlayan konservatuvarlar dahil)
85.5,Diğer eğitim
85.51,Spor ve eğlence (rekreasyon) eğitimi
85.51.03,"Spor ve eğlence (rekreasyon) eğitimi (fitness merkezleri tarafından sağlanan eğitimler ile temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.52,Kültürel eğitim
85.52.05,"Kültürel eğitim (bale, dans, müzik, fotoğraf, halk oyunu, resim, drama, vb. eğitimi dahil, temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.53,Sürücü kursu faaliyetleri
85.53.01,"Sürücü kursu faaliyetleri (ticari sertifika veren sürücülük, havacılık, yelkencilik, gemicilik eğitimi hariç)"
85.59,Başka yerde sınıflandırılmamış diğer eğitim
85.59.01,Halk eğitim merkezlerinin faaliyetleri
85.59.03,"Bilgisayar, yazılım, veritabanı, vb. eğitimi veren kursların faaliyetleri (temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.59.05,"Orta öğretime, yüksek öğretime, kamu personeli vb. sınavlara yönelik kurs ve etüt merkezlerinin faaliyetleri"
85.59.06,"Biçki, dikiş, nakış, halıcılık, güzellik, berberlik, kuaförlük kurslarının faaliyetleri"
85.59.08,"Kuran kursları ve diğer dini eğitim veren yerlerin faaliyetleri (temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.59.09,"Dil ve konuşma becerileri eğitimi veren kursların faaliyetleri (temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.59.10,"Mankenlik, modelistlik, stilistlik kurslarının faaliyetleri"
85.59.12,Muhasebe eğitimi kurslarının faaliyeti
85.59.15,"Akademik özel ders verme faaliyeti (temel, orta ve yükseköğretim düzeyinde bire bir eğitim)"
85.59.16,Çocuk kulüplerinin faaliyetleri (6 yaş ve üzeri çocuklar için)
85.59.99,"Başka yerde sınıflandırılmamış diğer eğitim kursu faaliyetleri (cankurtaranlık, hayatta kalma, topluluğa konuşma, hızlı okuma vb. eğitimi dahil; yetişkin okuma yazma programları ile temel, orta ve yükseköğretim düzeyinde verilen eğitim hariç)"
85.6,Eğitimi destekleyici faaliyetler
85.61,Kurslara ve eğitmenlere yönelik aracılık hizmeti faaliyetleri
85.61.00,Kurslara ve eğitmenlere yönelik aracılık hizmeti faaliyetleri
85.69,Başka yerde sınıflandırılmamış eğitim destek faaliyetleri
85.69.00,"Eğitimi destekleyici faaliyetler (eğitim rehberlik, danışmanlık (yurt dışı eğitim danışmanlığı dahil), test değerlendirme, öğrenci değişim programlarının organizasyonu, yaprak test ve soru bankası hazırlama gibi eğitimi destekleyen öğrenim dışı faaliyetler)"
R,İNSAN SAĞLIĞI VE SOSYAL HİZMET FAALİYETLERİ
86,İnsan sağlığı hizmetleri
86.1,Hastane hizmetleri
86.10,Hastane hizmetleri
86.10.04,Kamu kurumları tarafından verilen insan sağlığına yönelik özel ihtisas gerektiren yataklı hastane hizmetleri
86.10.05,"Kamu kurumları tarafından verilen insan sağlığına yönelik yataklı hastane hizmetleri (devlet üniversite hastaneleri dahil; özel ihtisas hastaneleri ile dişçilik, ambulansla taşıma, tıbbi laboratuvar test faaliyetleri hariç)"
86.10.12,Özel sağlık kurumları tarafından verilen insan sağlığına yönelik özel ihtisas gerektiren yataklı hastane hizmetleri
86.10.13,"Özel sağlık kurumları tarafından verilen insan sağlığına yönelik yataklı hastane hizmetleri (özel veya vakıf üniversite hastaneleri dahil; dişçilik, ambulansla taşıma, tıbbi laboratuvar testleri faaliyetleri hariç)"
86.2,Tıp ve dişçilik ile ilgili uygulama faaliyetleri
86.21,Genel hekimlik uygulama faaliyetleri
86.21.02,"Aile ve toplum sağlığı merkezleri tarafından sağlanan yatılı olmayan genel hekimlik uygulama faaliyetleri (yatılı hastane faaliyetleri ile ebeler, hemşireler ve fizyoterapistlerce gerçekleştirilen paramedikal faaliyetler hariç)"
86.21.03,"Özel sağlık kurumları tarafından polikliniklerde sağlanan yatılı olmayan genel hekimlik uygulama faaliyetleri (özel muayene ve yatılı hastane faaliyetleri ile ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.21.04,"Özel muayenehanelerde sağlanan yatılı olmayan genel hekimlik uygulama faaliyetleri (hastane ve poliklinik faaliyetleri ile ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.21.05,Ortak sağlık ve güvenlik birimlerinin (OSGB) faaliyetleri
86.21.90,"Diğer yatılı olmayan genel hekimlik uygulama faaliyetleri (ev, iş yeri, okul vb. yerlerde sağlananlar dahil; ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri ile OSGB'lerin faaliyetleri hariç)"
86.22,Tıp uzmanlarının faaliyetleri
86.22.02,"Özel muayenehanelerde sağlanan uzman hekimlik ile ilgili yatılı olmayan uygulama faaliyetleri (hastane ve poliklinik faaliyetleri ile ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.22.05,"Özel sağlık kurumları tarafından poliklinik ve yatılı olmayan tıp merkezlerinde sağlanan uzman hekimlik ile ilgili uygulama faaliyetleri (yatılı hastane faaliyetleri ile ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.22.06,"Aile ve toplum sağlığı merkezleri tarafından sağlanan yatılı olmayan uzman hekimlik uygulama faaliyetleri (yatılı hastane faaliyetleri ile ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.22.07,Diyaliz merkezleri (hastane dışı)
86.22.90,"Diğer yatılı olmayan uzman hekimlik uygulama faaliyetleri (ev, iş yeri, okul vb. yerlerde sağlananlar dahil; ebe, hemşire ve fizyoterapistlerin paramedikal faaliyetleri hariç)"
86.23,Dişçilik ile ilgili uygulama ve bakım faaliyetleri
86.23.01,Özel sağlık kurumları tarafından sağlanan diş hekimliği uygulama faaliyetleri (yatılı hastane faaliyetleri ile diş hijyenistleri gibi paramedikal diş sağlığı personelinin faaliyetleri hariç)
86.23.03,Özel muayenehanelerde sağlanan diş hekimliği uygulama faaliyetleri (yatılı hastane faaliyetleri ile diş hijyenistleri gibi paramedikal diş sağlığı personelinin faaliyetleri hariç)
86.23.05,Kamu kurumları tarafından sağlanan diş hekimliği uygulama faaliyetleri (yatılı hastane faaliyetleri ile diş hijyenistleri gibi paramedikal diş sağlığı personelinin faaliyetleri hariç)
86.9,İnsan sağlığı ile ilgili diğer hizmetler
86.91,Tanı amaçlı görüntüleme hizmetleri ve tıbbi laboratuvar faaliyetleri
86.91.01,Tıbbi laboratuvar faaliyetleri
86.91.02,Tanı amaçlı görüntüleme faaliyetleri (analiz veya yorumlama olmaksızın)
86.92,Ambulansla hasta taşıma
86.92.00,Ambulansla hasta taşıma
86.93,Psikolog ve psikoterapistlerin faaliyetleri (tıp doktorları hariç)
86.93.00,Psikolog ve psikoterapistlerin faaliyetleri (tıp doktorları hariç)
86.94,Hemşirelik ve ebelik faaliyetleri
86.94.01,"Ebe, sağlık memuru, sünnetçi, iğneci, pansumancı vb.leri tarafından verilen hizmetler (tıp doktorları dışında yetkili kişilerce sağlanan gebelik süresince ve doğum sonrası izleme ve tıbbi işlemleri kapsayan aile planlaması hizmetleri dahil) (hastane dışı)"
86.94.02,"Hemşirelik hizmetleri (evdeki hastalar için bakım, koruma, anne bakımı, çocuk sağlığı ve hemşirelik bakımı alanındaki benzeri hizmetler dahil; hemşireli yatılı bakım tesislerinin faaliyetleri ile tıp doktorlarının hizmetleri hariç) (hastane dışı)"
86.95,"Fizyoterapi hizmetleri (tıp doktorları dışında yetkili kişilerce sağlanan fizyoterapi, ergoterapi vb. alanlardaki hizmetler) (hastane dışı)"
86.95.00,"Fizyoterapi hizmetleri (tıp doktorları dışında yetkili kişilerce sağlanan fizyoterapi, ergoterapi vb. alanlardaki hizmetler) (hastane dışı)"
86.96,"Geleneksel, tamamlayıcı ve alternatif tıp faaliyetleri"
86.96.00,"Geleneksel, tamamlayıcı ve alternatif tıp faaliyetleri"
86.97,"Tıp, dişçilik ve diğer insan sağlığı hizmetlerine yönelik aracılık hizmeti faaliyetleri"
86.97.00,"Tıp, dişçilik ve diğer insan sağlığı hizmetlerine yönelik aracılık hizmeti faaliyetleri"
86.99,Başka yerde sınıflandırılmamış diğer insan sağlığı faaliyetleri
86.99.01,"Kan merkezleri ile kan, sperm ve organ bankalarının faaliyetleri (hastane dışı)"
86.99.99,"Başka yerde sınıflandırılmamış diğer insan sağlığı faaliyetleri (kan merkezleri ile kan, sperm ve organ bankalarının faaliyetleri hariç)"
87,Yatılı bakım faaliyetleri
87.1,Hemşireli yatılı bakım faaliyetleri
87.10,Hemşireli yatılı bakım faaliyetleri
87.10.01,"Hemşireli yatılı bakım faaliyetleri (hemşireli bakım evlerinin, hemşireli huzur evlerinin faaliyetleri dahil; sadece asgari düzeyde hemşire bakımı sağlanan yaşlı evlerinin, yetimhanelerin, yurtların faaliyetleri ile evlerde sağlanan hizmetler hariç)"
87.2,Zihinsel rahatsızlığı veya madde kullanımı teşhisi olan kişilere yönelik yatılı bakım faaliyetleri
87.20,Zihinsel rahatsızlığı veya madde kullanımı teşhisi olan kişilere yönelik yatılı bakım faaliyetleri
87.20.02,Zihinsel rahatsızlığı veya madde kullanımı teşhisi olan kişilere yönelik yatılı bakım faaliyetleri (hastanelerin faaliyetleri ile yatılı sosyal hizmet faaliyetleri hariç)
87.3,Yaşlılara veya bedensel engellilere yönelik yatılı bakım faaliyetleri
87.30,Yaşlılara veya bedensel engellilere yönelik yatılı bakım faaliyetleri
87.30.02,"Yaşlılara ve bedensel engellilere yönelik yatılı bakım faaliyetleri (destekli yaşam tesisleri, hemşire bakımı olmayan huzurevleri ve asgari düzeyde hemşire bakımı olan evlerin faaliyetleri dahil, yaşlılar için hemşire bakımlı evlerin faaliyetleri hariç)"
87.9,Diğer yatılı bakım faaliyetleri
87.91,Yatılı bakım faaliyetleri için aracılık hizmeti faaliyetleri
87.91.00,Yatılı bakım faaliyetleri için aracılık hizmeti faaliyetleri
87.99,Başka yerde sınıflandırılmamış diğer yatılı bakım faaliyetleri
87.99.00,Başka yerde sınıflandırılmamış diğer yatılı bakım faaliyetleri
88,Barınacak yer sağlanmaksızın verilen sosyal hizmetler
88.1,Yaşlılar veya engelliler için barınacak yer sağlanmaksızın verilen sosyal hizmetler
88.10,Yaşlılar veya engelliler için barınacak yer sağlanmaksızın verilen sosyal hizmetler
88.10.02,Yaşlılar ve bedensel engelliler için barınacak yer sağlanmaksızın verilen sosyal hizmetler (yatılı bakım faaliyetleri ile engelli çocuklara yönelik gündüz bakım (kreş) faaliyetleri hariç)
88.9,Barınacak yer sağlanmaksızın verilen diğer sosyal hizmetler
88.91,Çocuk gündüz bakım (kreş) faaliyetleri
88.91.01,Çocuk gündüz bakım (kreş) faaliyetleri (engelli çocuklar için olanlar ile bebek bakıcılığı dahil; okul öncesi eğitim faaliyetleri ile çocuk kulüpleri (6 yaş ve üzeri çocuklar için) hariç)
88.99,Başka yerde sınıflandırılmamış barınacak yer sağlanmaksızın verilen diğer sosyal yardım faaliyetleri
88.99.07,Barınacak yer sağlanmaksızın mesleki rehabilitasyon hizmetleri (bedensel engelliler için rehabilitasyon hizmetleri hariç)
88.99.09,"Barınacak yer sağlanmaksızın çocuk ve gençlere yönelik rehabilitasyon hizmetleri (zihinsel engelliler için olanlar dahil, bedensel engellilere yönelik olanlar hariç)"
88.99.99,"Başka yerde sınıflandırılmamış barınacak yer sağlanmaksızın verilen diğer sosyal yardım hizmetleri (aile danışmanlığı ve rehberliği, borç danışmanlığı, sosyal hizmet için para toplama, evlat edindirme, evsiz, afetzede ve mültecilere geçici barınak sağlama, yardım için uygun kişi belirleme vb.)"
S,"SANAT, SPOR VE EĞLENCE (REKREASYON) FAALİYETLERİ"
90,Sanatsal yaratıcılık ve sahne sanatları faaliyetleri
90.1,Sanatsal yaratıcılık faaliyetleri
90.11,Edebiyat eseri oluşturma ve müzikal kompozisyon faaliyetleri
90.11.00,Edebiyat eseri oluşturma ve müzikal kompozisyon faaliyetleri
90.12,Görsel sanatlar yaratıcılık faaliyetleri
90.12.00,Görsel sanatlar yaratıcılık faaliyetleri
90.13,Diğer sanatsal yaratıcılık faaliyetleri
90.13.00,Diğer sanatsal yaratıcılık faaliyetleri
90.2,Gösteri sanatları faaliyetleri
90.20,Gösteri sanatları faaliyetleri
90.20.01,"Bağımsız aktör, aktrist ve dublörlerin faaliyetleri"
90.20.02,"Bağımsız müzisyen, ses sanatçısı, konuşmacı, sunucu vb.lerin faaliyetleri (müzik grupları dahil)"
